presentations
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),講演者(日本語),講演者(英語),会議名(日本語),会議名(英語),発表年月日,開催年月日(From),開催年月日(To),招待の有無,記述言語,会議種別,主催者(日本語),主催者(英語),開催地(日本語),開催地(英語),国・地域,概要(日本語),概要(英語),国際・国内会議,国際共著,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,53757589,原子スケール二重スリット干渉法による局所原子振動相関の検出,原子スケール二重スリット干渉法による局所原子振動相関の検出,"[田畑 浩大, 関 岳人, 柴田 直哉]","[田畑 浩大, 関 岳人, 柴田 直哉]",超高分解能分科会2025年度研究討論会,超高分解能分科会2025年度研究討論会,2026-03-13,null,null,true,jpn,invited_oral_presentation,null,null,"東京大学, 東京都","東京大学, 東京都",null,null,null,false,null,https://sites.google.com/g.ecc.u-tokyo.ac.jp/uhr2025/,null,false,disclosed
insert,merge,null,53757588,"4D STEMによる局所原子振動相関の直接観察","4D STEMによる局所原子振動相関の直接観察","[田畑 浩大, 関 岳人, 柴田 直哉]","[田畑 浩大, 関 岳人, 柴田 直哉]",日本顕微鏡学会第68回シンポジウム,日本顕微鏡学会第68回シンポジウム,2025-11-14,null,null,false,jpn,oral_presentation,null,null,"名古屋大学, 愛知県","名古屋大学, 愛知県",null,null,null,false,null,https://conference.wdc-jp.com/microscopy/sympo/68th/,null,false,disclosed
insert,merge,null,53757587,"4D STEM による局所原子振動直接観察法の開発","4D STEM による局所原子振動直接観察法の開発","[田畑 浩大, 関 岳人, 柴田 直哉]","[田畑 浩大, 関 岳人, 柴田 直哉]",柴田超原子分解能電子顕微鏡プロジェクト第2回公開シンポジウム,柴田超原子分解能電子顕微鏡プロジェクト第2回公開シンポジウム,2025-10-17,null,null,false,jpn,oral_presentation,null,null,"東京大学, 東京都","東京大学, 東京都",null,null,null,false,null,null,null,false,disclosed
insert,merge,null,53757590,ピクセル型検出器を用いたライブOBFイメージングの実現と応用,ピクセル型検出器を用いたライブOBFイメージングの実現と応用,"[田畑 浩大, 河野 祐二, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 河野 祐二, 関 岳人, 幾原 雄一, 柴田 直哉]",日本顕微鏡学会学術講演会,日本顕微鏡学会学術講演会,2025-06-09,null,null,false,jpn,oral_presentation,null,null,"福岡国際会議場, 福岡県","福岡国際会議場, 福岡県",null,null,null,false,null,null,null,false,disclosed
insert,merge,null,53757591,"ARINAを活用した4D STEMライブ観察アプリケーションの開発","ARINAを活用した4D STEMライブ観察アプリケーションの開発","[田畑 浩大]","[田畑 浩大]","4D-STEM workshop","4D-STEM workshop",2025-06-04,null,null,true,jpn,invited_oral_presentation,null,null,"東京大学, 東京都","東京大学, 東京都",null,null,null,false,null,https://www.jeol.co.jp/events_seminars/seminars/20250428.12708.html,null,false,disclosed
insert,merge,null,53757596,"Column-by-Column Observation of Atomic VibrationsUsing Segmented and Pixelated Detectors","Column-by-Column Observation of Atomic VibrationsUsing Segmented and Pixelated Detectors","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","2nd Advanced Electron Microscopy Workshop for Young Scientists","2nd Advanced Electron Microscopy Workshop for Young Scientists",2025-03-13,null,null,false,eng,oral_presentation,null,null,"東京大学, 東京都","東京大学, 東京都",null,null,null,true,null,null,null,false,disclosed
insert,merge,null,53757595,ピクセル型検出器を用いたSTEMによる局所原子振動計測法の検討,ピクセル型検出器を用いたSTEMによる局所原子振動計測法の検討,"[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]",日本顕微鏡学会若手シンポジウム,日本顕微鏡学会若手シンポジウム,2024-10-18,null,null,false,jpn,oral_presentation,null,null,"九州大学筑紫キャンパス, 福岡県","九州大学筑紫キャンパス, 福岡県",null,null,null,false,null,https://microscopy.or.jp/20240823-2/,null,false,disclosed
insert,merge,null,53757594,走査透過電子顕微鏡によるクラスレート中のラットリング運動の直接観察,走査透過電子顕微鏡によるクラスレート中のラットリング運動の直接観察,"[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]",日本熱電学会学術講演会,日本熱電学会学術講演会,2024-09-24,null,null,false,jpn,oral_presentation,null,null,産業総合研究所，茨城県,産業総合研究所，茨城県,null,null,null,false,null,https://www.thermoelectrics.jp/conference.html,null,false,disclosed
insert,merge,null,53757593,走査透過電子顕微鏡による局所原子振動計測の検討,走査透過電子顕微鏡による局所原子振動計測の検討,"[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]",日本金属学会秋期講演大会,日本金属学会秋期講演大会,2024-09-19,null,null,false,jpn,oral_presentation,null,null,大阪大学，大阪府,大阪大学，大阪府,null,null,null,false,null,https://confit.atlas.jp/guide/event/jimm2024autumn/top?lang=ja,null,false,disclosed
insert,merge,null,53757592,微分可能STEMシミュレーションによる物理パラメータ推定法の検討,微分可能STEMシミュレーションによる物理パラメータ推定法の検討,"[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]",日本顕微鏡学会学術講演会,日本顕微鏡学会学術講演会,2024-06-04,null,null,false,jpn,oral_presentation,null,null,"幕張メッセ国際会議場, 千葉県","幕張メッセ国際会議場, 千葉県",null,null,null,false,null,https://conference.wdc-jp.com/microscopy/conf2024/schedule.html,null,false,disclosed
